Model Filename,Plot Filename,K
model-1200-1325-20230809-11.n2v,kmeans-model-1200-1325-20230809-11.png,10
model-1200-1325-20230828-34.n2v,kmeans-model-1200-1325-20230828-34.png,6
model-1200-1325-20230828-20.n2v,kmeans-model-1200-1325-20230828-20.png,5
model-1200-1325-20230828-21.n2v,kmeans-model-1200-1325-20230828-21.png,6
model-1200-1325-20230828-35.n2v,kmeans-model-1200-1325-20230828-35.png,5
model-1200-1325-20230809-10.n2v,kmeans-model-1200-1325-20230809-10.png,7
model-1-1536-20230830-65.n2v,kmeans-model-1-1536-20230830-65.png,28
model-1-1536-20230830-71.n2v,kmeans-model-1-1536-20230830-71.png,8
model-1-1536-20230830-59.n2v,kmeans-model-1-1536-20230830-59.png,5
model-1-1325-20230829-39.n2v,kmeans-model-1-1325-20230829-39.png,6
model-1200-1325-20230810-25.n2v,kmeans-model-1200-1325-20230810-25.png,7
model-1200-1325-20230810-31.n2v,kmeans-model-1200-1325-20230810-31.png,6
model-1200-1325-20230810-19.n2v,kmeans-model-1200-1325-20230810-19.png,8
model-1-1325-20230829-11.n2v,kmeans-model-1-1325-20230829-11.png,5
model-1-1325-20230813-38.n2v,kmeans-model-1-1325-20230813-38.png,7
model-1200-1325-20230811-59.n2v,kmeans-model-1200-1325-20230811-59.png,15
model-1-1325-20230812-4.n2v,kmeans-model-1-1325-20230812-4.png,10
model-1-1325-20230812-6.n2v,kmeans-model-1-1325-20230812-6.png,8
model-1-1325-20230829-13.n2v,kmeans-model-1-1325-20230829-13.png,8
model-1200-1325-20230810-27.n2v,kmeans-model-1200-1325-20230810-27.png,5
model-1200-1325-20230810-33.n2v,kmeans-model-1200-1325-20230810-33.png,6
model-1-1536-20230830-67.n2v,kmeans-model-1-1536-20230830-67.png,6
model-1200-1325-20230809-12.n2v,kmeans-model-1200-1325-20230809-12.png,5
model-1-1536-20230830-73.n2v,kmeans-model-1-1536-20230830-73.png,15
